acteurs,annee,description,duree,genre,pays,score,titre,titre_original,url
"Buster Keaton,Kathryn McGuire,Joe Keaton",1924,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",45m,"Action,Comedy,Romance",United States,8.2,Sherlock Jr.,,https://www.imdb.com//title/tt0015324/?ref_=chttp_i_201
"Billy Crystal,John Goodman,Mary Gibbs",2001,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ...",1h 32m,"Animation,Adventure,Comedy",United States,8.1,"Monsters, Inc.",,https://www.imdb.com//title/tt0198781/?ref_=chttp_i_200
"Buster Keaton,Marion Mack,Glen Cavender",1926,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ...",1h 18m,"Action,Adventure,Comedy",United States,8.1,The General,,https://www.imdb.com//title/tt0017925/?ref_=chttp_i_196
"Tom Hardy,Charlize Theron,Nicholas Hoult",2015,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M...",2h,"Action,Adventure,Sci-Fi",Australia,8.1,Mad Max: Fury Road,,https://www.imdb.com//title/tt1392190/?ref_=chttp_i_199
"Marlon Brando,Karl Malden,Lee J. Cobb",1954,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ...",1h 48m,"Crime,Drama,Thriller",United States,8.1,On the Waterfront,,https://www.imdb.com//title/tt0047296/?ref_=chttp_i_195
"Robert De Niro,Christopher Walken,John Cazale",1978,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,3h 3m,"Drama,War",United States,8.1,The Deer Hunter,,https://www.imdb.com//title/tt0077416/?ref_=chttp_i_197
"Song Kang-ho,Kim Sang-kyung,Kim Roe-ha",2003,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",2h 12m,"Crime,Drama,Mystery",South Korea,8.1,Memories of Murder,Original title: Salinui chueok,https://www.imdb.com//title/tt0353969/?ref_=chttp_i_193
"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",1993,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free t...",2h 13m,"Biography,Crime,Drama",Ireland,8.1,In the Name of the Father,,https://www.imdb.com//title/tt0107207/?ref_=chttp_i_192
"Charles Chaplin,Mack Swain,Tom Murray",1925,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",1h 35m,"Adventure,Comedy,Drama",United States,8.1,The Gold Rush,,https://www.imdb.com//title/tt0015864/?ref_=chttp_i_191
"Robin Williams,Robert Sean Leonard,Ethan Hawke",1989,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel...",2h 8m,"Comedy,Drama",United States,8.1,Dead Poets Society,,https://www.imdb.com//title/tt0097165/?ref_=chttp_i_194
"Andrew Garfield,Sam Worthington,Luke Bracey",2016,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit...",2h 19m,"Biography,Drama,History",United States,8.1,Hacksaw Ridge,,https://www.imdb.com//title/tt2119532/?ref_=chttp_i_190
"Ben Affleck,Rosamund Pike,Neil Patrick Harris",2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2h 29m,"Drama,Mystery,Thriller",United States,8.1,Gone Girl,,https://www.imdb.com//title/tt2267998/?ref_=chttp_i_189
"Ryan O'Neal,Marisa Berenson,Patrick Magee",1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,3h 5m,"Adventure,Drama,War",United Kingdom,8.1,Barry Lyndon,,https://www.imdb.com//title/tt0072684/?ref_=chttp_i_188
"Charlton Heston,Jack Hawkins,Stephen Boyd",1959,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",3h 32m,"Adventure,Drama",United States,8.1,Ben-Hur,,https://www.imdb.com//title/tt0052618/?ref_=chttp_i_187
"Ethan Hawke,Julie Delpy,Andrea Eckert",1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",1h 41m,"Drama,Romance",United States,8.1,Before Sunrise,,https://www.imdb.com//title/tt0112471/?ref_=chttp_i_185
"Daniel Radcliffe,Emma Watson,Rupert Grint",2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2h 10m,"Adventure,Family,Fantasy",United Kingdom,8.1,Harry Potter and the Deathly Hallows: Part 2,Original title: Harry Potter and the Deathly Hallows - Part 2,https://www.imdb.com//title/tt1201607/?ref_=chttp_i_181
"Hilary Swank,Clint Eastwood,Morgan Freeman",2004,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close...",2h 12m,"Drama,Sport",United States,8.1,Million Dollar Baby,,https://www.imdb.com//title/tt0405159/?ref_=chttp_i_180
"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",1997,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",1h 29m,"Drama,Family,Sport",Iran,8.2,Children of Heaven,Original title: Bacheha-Ye aseman,https://www.imdb.com//title/tt0118849/?ref_=chttp_i_182
"Harrison Ford,Rutger Hauer,Sean Young",1982,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1h 57m,"Action,Drama,Sci-Fi",United States,8.1,Blade Runner,,https://www.imdb.com//title/tt0083658/?ref_=chttp_i_184
"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",2014,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",1h 39m,"Adventure,Comedy,Crime",United States,8.1,The Grand Budapest Hotel,,https://www.imdb.com//title/tt2278388/?ref_=chttp_i_186
"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",2013,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.",2h 14m,"Biography,Drama,History",United Kingdom,8.1,12 Years a Slave,,https://www.imdb.com//title/tt2024544/?ref_=chttp_i_183
"Clint Eastwood,Bee Vang,Christopher Carley",2008,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",1h 56m,Drama,Germany,8.1,Gran Torino,,https://www.imdb.com//title/tt1205489/?ref_=chttp_i_178
"Tom Hardy,Nick Nolte,Joel Edgerton",2011,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ...",2h 20m,"Action,Drama,Sport",United States,8.1,Warrior,,https://www.imdb.com//title/tt1291584/?ref_=chttp_i_175
"Minami Hamabe,Sakura Andô,Ryunosuke Kamiki",2023,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",2h 4m,"Action,Adventure,Drama",Japan,8.3,Godzilla Minus One,Original title: Gojira -1.0,https://www.imdb.com//title/tt23289160/?ref_=chttp_i_177
"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",1988,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1h 26m,"Animation,Comedy,Family",Japan,8.1,My Neighbor Totoro,Original title: Tonari no Totoro,https://www.imdb.com//title/tt0096283/?ref_=chttp_i_179
"Jason Schwartzman,J.K. Simmons,Rashida Jones",2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv...",1h 36m,"Animation,Adventure,Comedy",Spain,8.2,Klaus,,https://www.imdb.com//title/tt4729430/?ref_=chttp_i_174
"William H. Macy,Frances McDormand,Steve Buscemi",1996,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1h 38m,"Crime,Thriller",United States,8.1,Fargo,,https://www.imdb.com//title/tt0116282/?ref_=chttp_i_173
"Tom Holland,Zendaya,Benedict Cumberbatch",2021,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul...",2h 28m,"Action,Adventure,Fantasy",United States,8.2,Spider-Man: No Way Home,,https://www.imdb.com//title/tt10872600/?ref_=chttp_i_172
"Leonardo DiCaprio,Tom Hanks,Christopher Walken",2002,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2h 21m,"Biography,Crime,Drama",United States,8.1,Catch Me If You Can,,https://www.imdb.com//title/tt0264464/?ref_=chttp_i_176
"Frances McDormand,Woody Harrelson,Sam Rockwell",2017,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,1h 55m,"Comedy,Crime,Drama",United Kingdom,8.1,"Three Billboards Outside Ebbing, Missouri",,https://www.imdb.com//title/tt5027774/?ref_=chttp_i_169
"Ricardo Darín,Soledad Villamil,Pablo Rago",2009,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi...,2h 9m,"Drama,Mystery,Romance",Argentina,8.2,The Secret in Their Eyes,Original title: El secreto de sus ojos,https://www.imdb.com//title/tt1305806/?ref_=chttp_i_166
"Amy Poehler,Bill Hader,Lewis Black",2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and...",1h 35m,"Animation,Adventure,Comedy",United States,8.1,Inside Out,,https://www.imdb.com//title/tt2096673/?ref_=chttp_i_167
"Jason Flemyng,Dexter Fletcher,Nick Moran",1998,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",1h 47m,"Action,Comedy,Crime",United Kingdom,8.1,"Lock, Stock and Two Smoking Barrels",,https://www.imdb.com//title/tt0120735/?ref_=chttp_i_165
"William Holden,Alec Guinness,Jack Hawkins",1957,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t...",2h 41m,"Adventure,Drama,War",United Kingdom,8.1,The Bridge on the River Kwai,,https://www.imdb.com//title/tt0050212/?ref_=chttp_i_171
"Robert De Niro,Cathy Moriarty,Joe Pesci",1980,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",2h 9m,"Biography,Drama,Sport",United States,8.1,Raging Bull,,https://www.imdb.com//title/tt0081398/?ref_=chttp_i_168
"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",1996,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",1h 33m,Drama,United Kingdom,8.1,Trainspotting,,https://www.imdb.com//title/tt0117951/?ref_=chttp_i_170
"Hugo Weaving,Natalie Portman,Rupert Graves",2005,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",2h 12m,"Action,Drama,Sci-Fi",United States,8.2,V for Vendetta,,https://www.imdb.com//title/tt0434409/?ref_=chttp_i_164
"Anthony Hopkins,John Hurt,Anne Bancroft",1980,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte...",2h 4m,"Biography,Drama",United States,8.2,The Elephant Man,,https://www.imdb.com//title/tt0080678/?ref_=chttp_i_160
"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",2004,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...",1h 59m,"Animation,Adventure,Family",Japan,8.2,Howl's Moving Castle,Original title: Hauru no ugoku shiro,https://www.imdb.com//title/tt0347149/?ref_=chttp_i_159
"Clark Gable,Vivien Leigh,Thomas Mitchell",1939,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi...,3h 58m,"Drama,Romance,War",United States,8.2,Gone with the Wind,,https://www.imdb.com//title/tt0031381/?ref_=chttp_i_163
"Hugh Jackman,Jake Gyllenhaal,Viola Davis",2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2h 33m,"Crime,Drama,Mystery",United States,8.2,Prisoners,,https://www.imdb.com//title/tt1392214/?ref_=chttp_i_158
"Jack Nicholson,Faye Dunaway,John Huston",1974,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",2h 10m,"Drama,Mystery,Thriller",United States,8.1,Chinatown,,https://www.imdb.com//title/tt0071315/?ref_=chttp_i_161
"Ray Milland,Grace Kelly,Robert Cummings",1954,A former tennis star arranges the murder of his adulterous wife.,1h 45m,"Crime,Thriller",United States,8.2,Dial M for Murder,,https://www.imdb.com//title/tt0046912/?ref_=chttp_i_162
"Albert Brooks,Ellen DeGeneres,Alexander Gould",2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",1h 40m,"Animation,Adventure,Comedy",United States,8.2,Finding Nemo,,https://www.imdb.com//title/tt0266543/?ref_=chttp_i_156
"Toshirô Mifune,Machiko Kyô,Masayuki Mori",1950,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",1h 28m,"Crime,Drama,Mystery",Japan,8.2,Rashomon,Original title: Rashômon,https://www.imdb.com//title/tt0042876/?ref_=chttp_i_157
"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",1961,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1h 50m,"Action,Drama,Thriller",Japan,8.2,Yojimbo,Original title: Yôjinbô,https://www.imdb.com//title/tt0055630/?ref_=chttp_i_153
"Steve McQueen,James Garner,Richard Attenborough",1963,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,2h 52m,"Adventure,Drama,Thriller",United States,8.2,The Great Escape,,https://www.imdb.com//title/tt0057115/?ref_=chttp_i_155
"Graham Chapman,John Cleese,Eric Idle",1975,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1h 31m,"Adventure,Comedy,Fantasy",United Kingdom,8.2,Monty Python and the Holy Grail,,https://www.imdb.com//title/tt0071853/?ref_=chttp_i_154
"Kurt Russell,Wilford Brimley,Keith David",1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1h 49m,"Horror,Mystery,Sci-Fi",United States,8.2,The Thing,,https://www.imdb.com//title/tt0084787/?ref_=chttp_i_150
"Uma Thurman,David Carradine,Daryl Hannah",2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",1h 51m,"Action,Crime,Thriller",United States,8.2,Kill Bill: Vol. 1,,https://www.imdb.com//title/tt0266697/?ref_=chttp_i_152
"Humphrey Bogart,Walter Huston,Tim Holt",1948,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,2h 6m,"Adventure,Drama,Western",United States,8.2,The Treasure of the Sierra Madre,,https://www.imdb.com//title/tt0040897/?ref_=chttp_i_151
"Russell Crowe,Ed Harris,Jennifer Connelly",2001,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a...",2h 15m,"Biography,Drama,Mystery",United States,8.2,A Beautiful Mind,,https://www.imdb.com//title/tt0268978/?ref_=chttp_i_148
"Clint Eastwood,Gene Hackman,Morgan Freeman",1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",2h 10m,"Drama,Western",United States,8.2,Unforgiven,,https://www.imdb.com//title/tt0105695/?ref_=chttp_i_147
"Ivana Baquero,Ariadna Gil,Sergi López",2006,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",1h 58m,"Drama,Fantasy,War",Mexico,8.2,Pan's Labyrinth,Original title: El laberinto del fauno,https://www.imdb.com//title/tt0457430/?ref_=chttp_i_146
"Bruce Willis,Haley Joel Osment,Toni Collette",1999,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wi...",1h 47m,"Drama,Mystery,Thriller",United States,8.2,The Sixth Sense,,https://www.imdb.com//title/tt0167404/?ref_=chttp_i_145
"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...",2h 40m,"Action,Drama,War",Japan,8.2,Ran,,https://www.imdb.com//title/tt0089881/?ref_=chttp_i_143
"Tommy Lee Jones,Javier Bardem,Josh Brolin",2007,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,2h 2m,"Crime,Drama,Thriller",United States,8.2,No Country for Old Men,,https://www.imdb.com//title/tt0477348/?ref_=chttp_i_149
"Robert De Niro,Sharon Stone,Joe Pesci",1995,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",2h 58m,"Crime,Drama",United States,8.2,Casino,,https://www.imdb.com//title/tt0112641/?ref_=chttp_i_142
"Sam Neill,Laura Dern,Jeff Goldblum",1993,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din...,2h 7m,"Action,Adventure,Sci-Fi",United States,8.2,Jurassic Park,,https://www.imdb.com//title/tt0107290/?ref_=chttp_i_144
"Jim Carrey,Ed Harris,Laura Linney",1998,An insurance salesman discovers his whole life is actually a reality TV show.,1h 43m,"Comedy,Drama",United States,8.2,The Truman Show,,https://www.imdb.com//title/tt0120382/?ref_=chttp_i_139
"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2h 38m,Drama,United States,8.2,There Will Be Blood,,https://www.imdb.com//title/tt0469494/?ref_=chttp_i_140
"Tom Cruise,Jennifer Connelly,Miles Teller",2022,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ...",2h 10m,"Action,Drama",United States,8.2,Top Gun: Maverick,,https://www.imdb.com//title/tt1745960/?ref_=chttp_i_137
"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",2010,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about th...",2h 18m,"Drama,Mystery,Thriller",United States,8.2,Shutter Island,,https://www.imdb.com//title/tt1130884/?ref_=chttp_i_141
"Anthony Hopkins,Olivia Colman,Mark Gatiss",2020,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his...",1h 37m,"Drama,Mystery",United Kingdom,8.2,The Father,,https://www.imdb.com//title/tt10272386/?ref_=chttp_i_135
"Bette Davis,Anne Baxter,George Sanders",1950,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,2h 18m,Drama,United States,8.2,All About Eve,,https://www.imdb.com//title/tt0042192/?ref_=chttp_i_138
"Viggo Mortensen,Mahershala Ali,Linda Cardellini",2018,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,2h 10m,"Biography,Comedy,Drama",United States,8.2,Green Book,,https://www.imdb.com//title/tt6966692/?ref_=chttp_i_134
"Christian Bale,Michael Caine,Ken Watanabe",2005,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the ci...",2h 20m,"Action,Crime,Drama",United States,8.2,Batman Begins,,https://www.imdb.com//title/tt0372784/?ref_=chttp_i_130
"Charles Chaplin,Edna Purviance,Jackie Coogan",1921,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",1h 8m,"Comedy,Drama,Family",United States,8.2,The Kid,,https://www.imdb.com//title/tt0012349/?ref_=chttp_i_133
"Marilyn Monroe,Tony Curtis,Jack Lemmon",1959,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",2h 1m,"Comedy,Music,Romance",United States,8.2,Some Like It Hot,,https://www.imdb.com//title/tt0053291/?ref_=chttp_i_132
"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2h 41m,"Action,Biography,Drama",India,8.3,Dangal,,https://www.imdb.com//title/tt5074352/?ref_=chttp_i_128
"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",1965,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.",2h 12m,"Drama,Western",Italy,8.2,For a Few Dollars More,Original title: Per qualche dollaro in più,https://www.imdb.com//title/tt0059578/?ref_=chttp_i_129
"Spencer Tracy,Burt Lancaster,Richard Widmark",1961,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",2h 59m,"Drama,War",United States,8.3,Judgment at Nuremberg,,https://www.imdb.com//title/tt0055031/?ref_=chttp_i_136
"Leonardo DiCaprio,Jonah Hill,Margot Robbie",2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",3h,"Biography,Comedy,Crime",United States,8.2,The Wolf of Wall Street,,https://www.imdb.com//title/tt0993846/?ref_=chttp_i_131
"Kevin Spacey,Russell Crowe,Guy Pearce",1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",2h 18m,"Crime,Drama,Mystery",United States,8.2,L.A. Confidential,,https://www.imdb.com//title/tt0119488/?ref_=chttp_i_123
"Dean-Charles Chapman,George MacKay,Daniel Mays",2019,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa...",1h 59m,"Action,Drama,War",United Kingdom,8.2,1917,,https://www.imdb.com//title/tt8579674/?ref_=chttp_i_125
"Lamberto Maggiorani,Enzo Staiola,Lianella Carell",1948,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",1h 29m,Drama,Italy,8.3,Bicycle Thieves,Original title: Ladri di biciclette,https://www.imdb.com//title/tt0040522/?ref_=chttp_i_124
"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",2h 36m,"Biography,Drama,History",Germany,8.2,Downfall,Original title: Der Untergang,https://www.imdb.com//title/tt0363163/?ref_=chttp_i_127
"Robert De Niro,Jodie Foster,Cybill Shepherd",1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1h 54m,"Crime,Drama",United States,8.2,Taxi Driver,,https://www.imdb.com//title/tt0075314/?ref_=chttp_i_126
"Jason Statham,Brad Pitt,Stephen Graham",2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",1h 42m,"Comedy,Crime",United Kingdom,8.2,Snatch,,https://www.imdb.com//title/tt0208092/?ref_=chttp_i_122
"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi...",2h 40m,"Biography,Drama,History",United States,8.3,Hamilton,,https://www.imdb.com//title/tt8503618/?ref_=chttp_i_121
"Paul Newman,Robert Redford,Robert Shaw",1973,Two grifters team up to pull off the ultimate con.,2h 9m,"Comedy,Crime,Drama",United States,8.3,The Sting,,https://www.imdb.com//title/tt0070735/?ref_=chttp_i_115
"Payman Maadi,Leila Hatami,Sareh Bayat",2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei...,2h 3m,Drama,Iran,8.3,A Separation,Original title: Jodaeiye Nader az Simin,https://www.imdb.com//title/tt1832382/?ref_=chttp_i_116
"Bruce Willis,Alan Rickman,Bonnie Bedelia",1988,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,2h 12m,"Action,Thriller",United States,8.2,Die Hard,,https://www.imdb.com//title/tt0095016/?ref_=chttp_i_118
"Gregory Peck,John Megna,Frank Overton",1962,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",2h 9m,"Crime,Drama",United States,8.3,To Kill a Mockingbird,,https://www.imdb.com//title/tt0056592/?ref_=chttp_i_114
"Edward Asner,Jordan Nagai,John Ratzenberger",2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",1h 36m,"Animation,Adventure,Comedy",United States,8.3,Up,,https://www.imdb.com//title/tt1049413/?ref_=chttp_i_113
"Harrison Ford,Sean Connery,Alison Doody",1989,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",2h 7m,"Action,Adventure",United States,8.2,Indiana Jones and the Last Crusade,,https://www.imdb.com//title/tt0097576/?ref_=chttp_i_117
"Brigitte Helm,Alfred Abel,Gustav Fröhlich",1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a...",2h 33m,"Drama,Sci-Fi",Germany,8.3,Metropolis,,https://www.imdb.com//title/tt0017136/?ref_=chttp_i_119
"Darsheel Safary,Aamir Khan,Tisca Chopra",2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2h 42m,"Drama,Family",India,8.3,Like Stars on Earth,Original title: Taare Zameen Par,https://www.imdb.com//title/tt0986264/?ref_=chttp_i_120
"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1h 56m,"Drama,War",United Kingdom,8.3,Full Metal Jacket,,https://www.imdb.com//title/tt0093058/?ref_=chttp_i_110
"Malcolm McDowell,Patrick Magee,Michael Bates",1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",2h 16m,"Crime,Sci-Fi",United Kingdom,8.3,A Clockwork Orange,,https://www.imdb.com//title/tt0066921/?ref_=chttp_i_111
